Date,Temperature (°C),Humidity (%)
2025-06-07 20:20:01,18.81,57.1
2025-06-07 20:30:01,18.31,58.1
2025-06-07 20:40:01,17.82,60.3
2025-06-07 20:50:01,17.32,72.3
2025-06-07 21:00:01,16.83,73.1
2025-06-07 21:10:01,16.43,72.6
2025-06-07 21:20:01,16.03,72.7
2025-06-07 21:30:01,15.74,75.7
2025-06-07 21:40:01,15.34,74.5
2025-06-07 21:50:01,15.04,73
2025-06-07 22:00:01,14.85,74.8
2025-06-07 22:10:01,14.55,75.2
2025-06-07 22:20:01,14.45,76.1
2025-06-07 22:30:01,14.25,76.2
2025-06-07 22:40:01,14.05,75.9
2025-06-07 22:50:01,13.86,74.8
2025-06-07 23:00:01,13.66,77.8
2025-06-07 23:10:01,13.46,75.7
2025-06-07 23:20:01,13.46,78.9
2025-06-07 23:30:01,13.26,73.5
2025-06-07 23:40:01,13.16,74.1
2025-06-07 23:50:01,13.06,72.2
2025-06-08 00:00:01,12.96,74
2025-06-08 00:10:01,12.87,72.6
2025-06-08 00:20:01,12.77,73
2025-06-08 00:30:01,12.57,74.7
2025-06-08 00:40:01,12.47,76.8
2025-06-08 00:50:01,12.27,78.8
2025-06-08 01:00:01,11.97,77.6
2025-06-08 01:10:01,11.78,78
2025-06-08 01:20:01,11.58,78.1
2025-06-08 01:30:01,11.48,78.8
2025-06-08 01:40:01,11.38,77.8
2025-06-08 01:50:01,11.28,78.1
2025-06-08 02:00:01,11.38,79.6
2025-06-08 02:10:01,11.38,79.7
2025-06-08 02:20:01,11.28,81
2025-06-08 02:30:01,11.08,81
2025-06-08 02:40:01,10.89,82.5
2025-06-08 02:50:01,10.69,80.3
2025-06-08 03:00:01,10.49,82.1
2025-06-08 03:10:01,10.29,83
2025-06-08 03:20:02,10.09,82.9
2025-06-08 03:30:01,9.90,82.3
2025-06-08 03:40:01,9.70,83.9
2025-06-08 03:50:01,9.60,84.9
2025-06-08 04:00:01,9.50,85.4
2025-06-08 04:10:01,9.30,85
2025-06-08 04:20:01,9.20,84.7
2025-06-08 04:30:01,9.00,83.8
2025-06-08 04:40:01,8.91,86.6
2025-06-08 04:50:01,8.81,87.3
2025-06-08 05:00:01,8.71,87.2
2025-06-08 05:10:01,8.61,85.2
2025-06-08 05:20:01,8.51,88.1
2025-06-08 05:30:01,8.51,88.4
2025-06-08 05:40:01,8.51,87.4
2025-06-08 05:50:01,8.51,86.5
2025-06-08 06:00:01,8.71,89.6
2025-06-08 06:10:01,8.81,89.3
2025-06-08 06:20:01,8.91,88
2025-06-08 06:30:01,9.20,88.9
2025-06-08 06:40:01,9.50,89.9
2025-06-08 06:50:01,9.80,90.4
2025-06-08 07:00:01,10.19,91
2025-06-08 07:10:01,10.79,88.7
2025-06-08 07:20:01,11.28,84.7
2025-06-08 07:30:01,12.17,86.2
